"id","name","dob","gender","address","firstReleaseYear","noOfAlbumsReleased","fileURL","createdAt","updatedAt"
"14","Radha Rimal","1985-06-14T18:30:00","GENDER_UNSPECIFIED","123 Main Street, Cityville, Country","2005","10","","2024-12-24T04:59:16.766402",""
"13","Radha Rimal","1985-06-14T18:30:00","GENDER_UNSPECIFIED","123 Main Street, Cityville, Country","2005","10","","2024-12-24T04:59:08.360516",""
"12","Radha Rimal","1985-06-14T18:30:00","GENDER_UNSPECIFIED","123 Main Street, Cityville, Country","2005","10","","2024-12-24T04:57:32.155986",""
"11","Radha Rimal","1985-06-14T18:30:00","GENDER_UNSPECIFIED","123 Main Street, Cityville, Country","2005","10","","2024-12-24T04:56:07.062686",""
"10","Radha Rimal","1985-06-14T18:30:00","GENDER_UNSPECIFIED","123 Main Street, Cityville, Country","2005","10","","2024-12-24T04:54:59.59359",""
"9","Radha Rimal","1985-06-14T18:30:00","GENDER_UNSPECIFIED","123 Main Street, Cityville, Country","2005","10","","2024-12-24T04:45:31.364924",""
"8","Pratik Ghimire","2024-12-20T00:00:00","MALE","Kumaripati, Lalitpur","2013","10","","2024-12-24T04:01:24.244508",""
"6","karan johar","2024-12-12T00:00:00","MALE","Kumaripati, Lalitpur","2020","10","","2024-12-24T03:31:44.271564",""
"5","Suresh kamol","1985-06-15T00:00:00","MALE","123 Main Street, Cityville, Country","2005","11","","2024-12-22T21:35:39.233876","2024-12-22T21:36:15.116943"
"4","Radha Rimal","1985-06-15T00:00:00","MALE","123 Main Street, Cityville, Country","2005","10","","2024-12-22T21:35:24.39359",""
