ID,Name,DOB,Gender,Address,First Release Year,No of Albums Released
14,Radha Rimal,1985-06-14T18:30,GENDER_UNSPECIFIED,"123 Main Street, Cityville, Country",2005,10
13,Radha Rimal,1985-06-14T18:30,GENDER_UNSPECIFIED,"123 Main Street, Cityville, Country",2005,10
12,Radha Rimal,1985-06-14T18:30,GENDER_UNSPECIFIED,"123 Main Street, Cityville, Country",2005,10
11,Radha Rimal,1985-06-14T18:30,GENDER_UNSPECIFIED,"123 Main Street, Cityville, Country",2005,10
10,Radha Rimal,1985-06-14T18:30,GENDER_UNSPECIFIED,"123 Main Street, Cityville, Country",2005,10
9,Radha Rimal,1985-06-14T18:30,GENDER_UNSPECIFIED,"123 Main Street, Cityville, Country",2005,10
8,Pratik Ghimire,2024-12-20T00:00,MALE,"Kumaripati, Lalitpur",2013,10
6,karan johar,2024-12-12T00:00,MALE,"Kumaripati, Lalitpur",2020,10
5,Suresh kamol,1985-06-15T00:00,MALE,"123 Main Street, Cityville, Country",2005,11
4,Radha Rimal,1985-06-15T00:00,MALE,"123 Main Street, Cityville, Country",2005,10
